,industry,jobtitle,skill_s
0,IT-Software ,PHP Developer,php javascript css web development html
1,Internet ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
2,IT-Software ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
3,IT-Software ,Android Developer,teamwork java layout desgin firebase ui
4,IT-Software ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
5,IT-Software ,UI Developer,ajax json jquery html css
6,IT-Software ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
7,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
8,IT-Software ,Sales Executive,marketing analytics communication skills sales force stratergy
9,Internet ,Sales Manager,marketing communication skills planning abilities analysis delegation
10,IT-Software ,Java Developer,java data structures algorithms advanced java web services
11,Pharma ,Sales Executive,marketing analytics communication skills sales force stratergy
12,IT-Software ,UI Developer,ajax json jquery html css
13,BPO ,Project Manager,teamwork communication skills ms office management analytical skills
14,IT-Software ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
15,Banking ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
16,Internet ,Android Developer,teamwork java layout desgin firebase ui
17,IT-Software ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
18,Internet ,iOS Developer,ui and ux networking core data xcode ide desgining swift
19,Recruitment ,Android Developer,teamwork java layout desgin firebase ui
20,Recruitment ,Dot Net Developer,database application oop full stack asp.net web development javascript
21,Internet ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
22,Internet ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
23,IT-Software ,Dot Net Developer,database application oop full stack asp.net web development javascript
24,IT-Software ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
25,Banking ,Business Analyst,analytical skills marketing management skills ms office presentation skills
26,IT-Software ,Software Developer,python java c c++ algorithmic desgin data structures web services full stack web development
27,Recruitment ,UI Developer,ajax json jquery html css
28,Internet ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
29,Medical ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
30,IT-Software ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
31,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
32,IT-Software ,Marketing Executive,teamwork marketing data science communication skills stratergy
33,IT-Software ,Graphic Designer,desgining branding typography communication basic coding graphics
34,Banking ,Sales Executive,marketing analytics communication skills sales force stratergy
35,Internet ,Business Analyst,analytical skills marketing management skills ms office presentation skills
36,IT-Software ,Android Developer,teamwork java layout desgin firebase ui
37,IT-Software ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
38,BPO ,Medical Coding Transcription - We Will Help You Out - Wtsap 9789004777,biotech data science python machine learning pharmacy
39,Automobile ,Project Manager,teamwork communication skills ms office management analytical skills
40,BPO ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
41,Medical ,Medical Coding Transcription - We Will Help You Out - Wtsap 9789004777,biotech data science python machine learning pharmacy
42,Banking ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
43,IT-Software ,Sales Executive,marketing analytics communication skills sales force stratergy
44,Recruitment ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
45,IT-Software ,iOS Developer,ui and ux networking core data xcode ide desgining swift
46,IT-Software ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
47,IT-Software ,Web Designer,css html frontend analytical skills photoshop
48,IT-Software ,PHP Developer,php javascript css web development html
49,IT-Software ,Web Designer,css html frontend analytical skills photoshop
50,Automobile ,Java Developer,java data structures algorithms advanced java web services
51,Education ,Marketing Executive,teamwork marketing data science communication skills stratergy
52,Education ,Software Developer,python java c c++ algorithmic desgin data structures web services full stack web development
53,IT-Software ,Android Developer,teamwork java layout desgin firebase ui
54,Banking ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
55,IT-Software ,UI Developer,ajax json jquery html css
56,IT-Software ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
57,IT-Software ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
58,Recruitment ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
59,Medical ,Project Manager,teamwork communication skills ms office management analytical skills
60,IT-Software ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
61,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
62,IT-Software ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
63,Internet ,Software Developer,python java c c++ algorithmic desgin data structures web services full stack web development
64,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
65,Education ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
66,IT-Software ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
67,Recruitment ,Marketing Executive,teamwork marketing data science communication skills stratergy
68,IT-Software ,Software Developer,python java c c++ algorithmic desgin data structures web services full stack web development
69,Banking ,Marketing Executive,teamwork marketing data science communication skills stratergy
70,IT-Software ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
71,Education ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
72,Internet ,Dot Net Developer,database application oop full stack asp.net web development javascript
73,Medical ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
74,IT-Software ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
75,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
76,Internet ,Project Manager,teamwork communication skills ms office management analytical skills
77,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
78,IT-Software ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
79,Internet ,iOS Developer,ui and ux networking core data xcode ide desgining swift
80,Banking ,Sales Manager,marketing communication skills planning abilities analysis delegation
81,IT-Software ,Analyst,communication skills stratergy presentation skills management good listener
82,IT-Software ,Web Designer,css html frontend analytical skills photoshop
83,IT-Software ,PHP Developer,php javascript css web development html
84,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
85,BPO ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
86,Internet ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
87,BPO ,Java Developer,java data structures algorithms advanced java web services
88,Banking ,Marketing Executive,teamwork marketing data science communication skills stratergy
89,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
90,Internet ,Marketing Executive,teamwork marketing data science communication skills stratergy
91,Recruitment ,Business Analyst,analytical skills marketing management skills ms office presentation skills
92,BPO ,Business Analyst,analytical skills marketing management skills ms office presentation skills
93,Recruitment ,Graphic Designer,desgining branding typography communication basic coding graphics
94,Banking ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
95,BPO ,PHP Developer,php javascript css web development html
96,Pharma ,Graphic Designer,desgining branding typography communication basic coding graphics
97,Recruitment ,Java Developer,java data structures algorithms advanced java web services
98,Internet ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
99,BPO ,Software Developer,python java c c++ algorithmic desgin data structures web services full stack web development
100,Recruitment ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
101,Automobile ,Graphic Designer,desgining branding typography communication basic coding graphics
102,Internet ,Graphic Designer,desgining branding typography communication basic coding graphics
103,Internet ,Android Developer,teamwork java layout desgin firebase ui
104,IT-Software ,Analyst,communication skills stratergy presentation skills management good listener
105,IT-Software ,Analyst,communication skills stratergy presentation skills management good listener
106,Internet ,Graphic Designer,desgining branding typography communication basic coding graphics
107,IT-Software ,iOS Developer,ui and ux networking core data xcode ide desgining swift
108,Internet ,UI Developer,ajax json jquery html css
109,IT-Software ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
110,IT-Software ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
111,Internet ,Graphic Designer,desgining branding typography communication basic coding graphics
112,IT-Software ,iOS Developer,ui and ux networking core data xcode ide desgining swift
113,Internet ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
114,Recruitment ,PHP Developer,php javascript css web development html
115,Medical ,Web Developer,html css javascript vue js react node angular frontend
116,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
117,Banking ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
118,Recruitment ,Graphic Designer,desgining branding typography communication basic coding graphics
119,Banking ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
120,Education ,iOS Developer,ui and ux networking core data xcode ide desgining swift
121,BPO ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
122,IT-Software ,Sales Manager,marketing communication skills planning abilities analysis delegation
123,Banking ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
124,Medical ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
125,Medical ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
126,Internet ,Java Developer,java data structures algorithms advanced java web services
127,Pharma ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
128,BPO ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
129,IT-Software ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
130,Education ,Sales Executive,marketing analytics communication skills sales force stratergy
131,Banking ,Business Analyst,analytical skills marketing management skills ms office presentation skills
132,Education ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
133,Medical ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
134,BPO ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
135,IT-Software ,Java Developer,java data structures algorithms advanced java web services
136,Internet ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
137,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
138,IT-Software ,Web Developer,html css javascript vue js react node angular frontend
139,Internet ,Web Designer,css html frontend analytical skills photoshop
140,Recruitment ,Software Developer,python java c c++ algorithmic desgin data structures web services full stack web development
141,Recruitment ,Sales Executive,marketing analytics communication skills sales force stratergy
142,IT-Software ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
143,Recruitment ,Project Manager,teamwork communication skills ms office management analytical skills
144,Recruitment ,Sales Manager,marketing communication skills planning abilities analysis delegation
145,Recruitment ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
146,Banking ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
147,Internet ,Business Analyst,analytical skills marketing management skills ms office presentation skills
148,Banking ,Analyst,communication skills stratergy presentation skills management good listener
149,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
150,IT-Software ,Analyst,communication skills stratergy presentation skills management good listener
151,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
152,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
153,BPO ,Analyst,communication skills stratergy presentation skills management good listener
154,IT-Software ,Web Developer,html css javascript vue js react node angular frontend
155,Internet ,PHP Developer,php javascript css web development html
156,Recruitment ,Android Developer,teamwork java layout desgin firebase ui
157,Medical ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
158,Education ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
159,Internet ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
160,Education ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
161,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
162,BPO ,Sales Executive,marketing analytics communication skills sales force stratergy
163,IT-Software ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
164,Recruitment ,Marketing Executive,teamwork marketing data science communication skills stratergy
165,Pharma ,Project Manager,teamwork communication skills ms office management analytical skills
166,IT-Software ,Marketing Executive,teamwork marketing data science communication skills stratergy
167,Internet ,Sales Executive,marketing analytics communication skills sales force stratergy
168,Banking ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
169,IT-Software ,Analyst,communication skills stratergy presentation skills management good listener
170,Internet ,Web Developer,html css javascript vue js react node angular frontend
171,Automobile ,Sales Manager,marketing communication skills planning abilities analysis delegation
172,Banking ,Analyst,communication skills stratergy presentation skills management good listener
173,Recruitment ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
174,Internet ,Web Developer,html css javascript vue js react node angular frontend
175,Internet ,Web Designer,css html frontend analytical skills photoshop
176,Internet ,Project Manager,teamwork communication skills ms office management analytical skills
177,Pharma ,Marketing Executive,teamwork marketing data science communication skills stratergy
178,Education ,Marketing Executive,teamwork marketing data science communication skills stratergy
179,IT-Software ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
180,Medical ,Marketing Executive,teamwork marketing data science communication skills stratergy
181,IT-Software ,Graphic Designer,desgining branding typography communication basic coding graphics
182,Recruitment ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
183,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
184,IT-Software ,Web Designer,css html frontend analytical skills photoshop
185,Recruitment ,Web Designer,css html frontend analytical skills photoshop
186,Internet ,Project Manager,teamwork communication skills ms office management analytical skills
187,IT-Software ,Dot Net Developer,database application oop full stack asp.net web development javascript
188,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
189,IT-Software ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
190,IT-Software ,Android Developer,teamwork java layout desgin firebase ui
191,Medical ,Marketing Executive,teamwork marketing data science communication skills stratergy
192,IT-Software ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
193,Internet ,Web Designer,css html frontend analytical skills photoshop
194,IT-Software ,Java Developer,java data structures algorithms advanced java web services
195,Pharma ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
196,Pharma ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
197,IT-Software ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
198,IT-Software ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
199,IT-Software ,UI Developer,ajax json jquery html css
200,Automobile ,Business Analyst,analytical skills marketing management skills ms office presentation skills
201,Internet ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
202,Pharma ,Sales Manager,marketing communication skills planning abilities analysis delegation
